Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME,No of trades 
28-Mar-25,Friday,March,Q1,2025,EQ,2376.00 ,2386.95 ,2293.70 ,2363.35 ,2316.65 ,2315.80 ,2330.66 ,3743.90 ,2025.00 ,1838836,70667.00 
27-Mar-25,Thursday,March,Q1,2025,EQ,2310.00 ,2373.90 ,2291.60 ,2312.60 ,2363.00 ,2363.35 ,2332.26 ,3743.90 ,2025.00 ,1696042,81185.00 
26-Mar-25,Wednesday,March,Q1,2025,EQ,2324.90 ,2359.85 ,2308.05 ,2320.35 ,2314.00 ,2312.60 ,2332.77 ,3743.90 ,2025.00 ,1078870,58779.00 
25-Mar-25,Tuesday,March,Q1,2025,EQ,2385.00 ,2387.65 ,2315.10 ,2368.70 ,2319.50 ,2320.35 ,2339.21 ,3743.90 ,2025.00 ,763065,46534.00 
24-Mar-25,Monday,March,Q1,2025,EQ,2370.00 ,2395.00 ,2361.10 ,2362.80 ,2370.00 ,2368.70 ,2376.20 ,3743.90 ,2025.00 ,1010184,39593.00 
21-Mar-25,Friday,March,Q1,2025,EQ,2343.80 ,2389.55 ,2338.00 ,2339.30 ,2365.00 ,2362.80 ,2365.79 ,3743.90 ,2025.00 ,1101418,55299.00 
20-Mar-25,Thursday,March,Q1,2025,EQ,2348.00 ,2348.00 ,2299.00 ,2318.65 ,2338.05 ,2339.30 ,2330.01 ,3743.90 ,2025.00 ,2587051,55254.00 
19-Mar-25,Wednesday,March,Q1,2025,EQ,2319.95 ,2342.00 ,2311.05 ,2308.50 ,2316.90 ,2318.65 ,2324.68 ,3743.90 ,2025.00 ,1030345,42002.00 
18-Mar-25,Tuesday,March,Q1,2025,EQ,2274.00 ,2314.20 ,2259.75 ,2252.70 ,2304.55 ,2308.50 ,2291.19 ,3743.90 ,2025.00 ,878007,47968.00 
17-Mar-25,Monday,March,Q1,2025,EQ,2200.00 ,2286.90 ,2198.00 ,2221.10 ,2251.00 ,2252.70 ,2255.72 ,3743.90 ,2025.00 ,927737,52613.00 
13-Mar-25,Thursday,March,Q1,2025,EQ,2249.00 ,2273.00 ,2215.60 ,2241.80 ,2222.45 ,2221.10 ,2237.90 ,3743.90 ,2025.00 ,750310,52311.00 
12-Mar-25,Wednesday,March,Q1,2025,EQ,2270.00 ,2280.00 ,2180.95 ,2250.60 ,2236.00 ,2241.80 ,2230.69 ,3743.90 ,2025.00 ,1049076,56794.00 
11-Mar-25,Tuesday,March,Q1,2025,EQ,2223.15 ,2267.85 ,2208.30 ,2228.30 ,2252.65 ,2250.60 ,2251.19 ,3743.90 ,2025.00 ,947079,54661.00 
10-Mar-25,Monday,March,Q1,2025,EQ,2245.00 ,2288.00 ,2220.00 ,2247.50 ,2224.40 ,2228.30 ,2258.17 ,3743.90 ,2025.00 ,940113,57381.00 
07-Mar-25,Friday,March,Q1,2025,EQ,2249.95 ,2267.65 ,2227.00 ,2252.85 ,2249.50 ,2247.50 ,2247.94 ,3743.90 ,2025.00 ,818806,44934.00 
06-Mar-25,Thursday,March,Q1,2025,EQ,2260.00 ,2268.90 ,2226.15 ,2245.85 ,2251.00 ,2252.85 ,2250.92 ,3743.90 ,2025.00 ,890270,81763.00 
05-Mar-25,Wednesday,March,Q1,2025,EQ,2153.95 ,2258.40 ,2148.05 ,2144.80 ,2242.00 ,2245.85 ,2219.60 ,3743.90 ,2025.00 ,1370106,81480.00 
